prod_ID,good ID,revenue,salaries paid,assets spending,income,dividends,retained,no-cash assets value,cash,units sold,units offered,price exp,time
0,apple,151.48177551951943,0,0,151.48177551951943,68.16679898378375,83.31497653573568,0.0,5318.328971805769,7,7,22.72226632792792,1
1,apple,104.29999860170155,0,0,104.29999860170155,46.934999370765695,57.36499923093585,0.0,5221.807562691445,7,7,15.64499979025523,1
2,apple,99.77257331059705,0,0,99.77257331059705,44.897657989768675,54.87491532082838,0.0,5910.251158428807,7,7,14.965885996589558,1
3,apple,181.95670717603937,0,0,181.95670717603937,81.88051822921771,100.07618894682166,0.0,5242.363942821298,7,7,27.293506076405905,1
4,apple,105.47769176392055,0,0,105.47769176392055,47.46496129376425,58.0127304701563,0.0,6034.681610308168,7,7,15.821653764588081,1
5,apple,217.22198378585716,0,0,217.22198378585716,97.74989270363572,119.47209108222144,0.0,6070.341839186772,7,7,32.583297567878574,1
6,apple,188.19408509274257,0,0,188.19408509274257,84.68733829173415,103.50674680100842,0.0,5423.230678791483,7,7,28.229112763911388,1
7,apple,196.07972581796844,0,0,196.07972581796844,88.2358766180858,107.84384919988264,0.0,5975.09046423058,7,7,29.411958872695266,1
8,apple,164.50125852421155,0,0,164.50125852421155,74.02556633589519,90.47569218831636,0.0,5480.960201328012,7,7,24.675188778631732,1
9,apple,181.30231952608918,0,0,181.30231952608918,81.58604378674013,99.71627573934904,0.0,5568.139972996022,7,7,27.19534792891338,1
10,art,0.0,0,97.92892150694212,-97.92892150694212,0,-97.92892150694212,74.45956157730521,5368.285324856829,0,0,42.42640494262142,1
11,art,0.0,0,138.59535798214205,-138.59535798214205,0,-138.59535798214205,99.27941543640694,5162.493645385655,0,0,42.75456350683222,1
12,art,0.0,0,0,0.0,0.0,0.0,0.0,5024.526245875845,0,0,29.941617971290068,1
13,art,0.0,0,17.13499977027954,-17.13499977027954,0,-17.13499977027954,24.819853859101734,5862.527952982332,0,0,19.271943778818784,1
14,art,0.0,0,0,0.0,0.0,0.0,0.0,5834.256348555155,0,0,14.353831139273897,1
15,art,0.0,0,0,0.0,0.0,0.0,0.0,5134.74990590312,0,0,32.72825353592693,1
16,art,0.0,0,95.5018409333747,-95.5018409333747,0,-95.5018409333747,74.45956157730521,5176.934637622798,0,0,34.25373493335303,1
17,art,0.0,0,0,0.0,0.0,0.0,0.0,6187.169579081319,0,0,29.648977978058284,1
